#Amery = 115, West = 102, Publications = 104, Venable = 53, Abbot = 110, Cosgrove = 54, PIG = 55, Thwaites = 56, crosson = 57, Dotson = 58, Getz = 60, Nickerson = 64, Sulzberger = 65,Brunt = 36, Riiser-Larsen = 37, Quar = 38, Ekstrom = 39, Atka = 124, Jelbaert = 125, Fimbil = 121, Vigrid = 123, Nivlisen = 122, Lazarez = 120, Borchgrevink = 119, Baudouin = 118, Prince Herald = 158, scar inlet = 51, Larsen C = 8, Larsen D = 6, Larsen E = 7, N GVIIS = 45, S GVIIS = 44, Bach = 46, Stange = 52, Wilkins = 50, Ronne = 34, Filchner = 35, Ross West = 70, Ross East = 71, Mertz = 91,  Ninnis = 162, Cook = 90, Rennick = 86, Mariner = 83, Drygalski = 73, Nansen = 74, Dibble = 114, Shackleton = 100, Tracy Tremenchus = 24, Conger Glenzer = 99, Vincennes Bay = 159, Totten = 98, Moscow uni = 157, Holmes = 156
#lat,long,region
-85,-161.25,71
-85,-160,71
-85,-157.5,71
-84.5,-170,71
-84.5,-168.12,71
-84.5,-166.88,70
-84.5,-165.62,70
-84.5,-164.38,70
-84,-178.12,71
-84,-176.25,70
-84,-174.38,70
-84,-172.5,70
-84,-170,70
-84,-168.12,70
-84,-166.25,70
-84,-163.75,70
-83.5,-179.38,70
-83.5,-178.12,70
-83.5,-175.62,70
-83.5,-173.12,70
-83.5,-170.62,70
-83.5,-160.62,70
-83.5,172.5,71
-83.5,173.75,71
-83.5,175,71
-83.5,176.25,71
-83.5,176.88,71
-83.5,178.75,70
-83,-178.75,70
-83,-176.88,70
-83,-175,70
-83,-170.62,70
-83,-168.75,70
-83,-166.88,70
-83,-160.62,70
-83,-157.5,70
-83,-61.875,34
-83,-60.625,34
-83,-59.375,35
-83,171.25,71
-83,173.12,71
-83,175,71
-83,176.88,71
-83,179.38,70
-82.5,-179.38,70
-82.5,-177.5,70
-82.5,-175.62,70
-82.5,-173.75,70
-82.5,-171.88,70
-82.5,-170,70
-82.5,-168.12,70
-82.5,-166.25,70
-82.5,-164.38,70
-82.5,-162.5,70
-82.5,-158.75,70
-82.5,-156.88,70
-82.5,-155.62,70
-82.5,-154.38,70
-82.5,-153.12,70
-82.5,-62.5,34
-82.5,-61.875,34
-82.5,-61.25,34
-82.5,-59.375,34
-82.5,-58.75,34
-82.5,-58.125,35
-82.5,-57.5,35
-82.5,-56.875,35
-82.5,166.25,71
-82.5,166.88,71
-82.5,167.5,71
-82.5,168.75,71
-82.5,170,71
-82.5,171.25,71
-82.5,173.12,71
-82.5,175,71
-82.5,176.88,70
-82.5,178.75,70
-82,-178.75,70
-82,-176.88,70
-82,-175,70
-82,-173.12,70
-82,-171.25,70
-82,-169.38,70
-82,-167.5,70
-82,-163.75,70
-82,-161.88,70
-82,-160,70
-82,-156.88,70
-82,-155.62,70
-82,-65,34
-82,-63.75,34
-82,-62.5,34
-82,-61.25,34
-82,-60,34
-82,-58.125,34
-82,-56.25,35
-82,-55.625,35
-82,-55,35
-82,-54.375,35
-82,-53.75,35
-82,-51.875,35
-82,-45,35
-82,-44.375,35
-82,164.38,71
