#1 = Amery, 2 = Amundsen, 3 = Dronning, 4 = Peninsula, 5 = Ronne, 6 = Ross, 7 = Victoria, 8 = Wilkes
#lat,long,region
-85,-161.25,6
-85,-160,6
-85,-157.5,6
-84.5,-170,6
-84.5,-168.12,6
-84.5,-166.88,6
-84.5,-165.62,6
-84.5,-164.38,6
-84,-178.12,6
-84,-176.25,6
-84,-174.38,6
-84,-172.5,6
-84,-170,6
-84,-168.12,6
-84,-166.25,6
-84,-163.75,6
-83.5,-179.38,6
-83.5,-178.12,6
-83.5,-175.62,6
-83.5,-173.12,6
-83.5,-170.62,6
-83.5,-160.62,6
-83.5,172.5,6
-83.5,173.75,6
-83.5,175,6
-83.5,176.25,6
-83.5,176.88,6
-83.5,178.75,6
-83,-178.75,6
-83,-176.88,6
-83,-175,6
-83,-170.62,6
-83,-168.75,6
-83,-166.88,6
-83,-160.62,6
-83,-157.5,6
-83,-61.875,5
-83,-60.625,5
-83,-59.375,5
-83,171.25,6
-83,173.12,6
-83,175,6
-83,176.88,6
-83,179.38,6
-82.5,-179.38,6
-82.5,-177.5,6
-82.5,-175.62,6
-82.5,-173.75,6
-82.5,-171.88,6
-82.5,-170,6
-82.5,-168.12,6
-82.5,-166.25,6
-82.5,-164.38,6
-82.5,-162.5,6
-82.5,-158.75,6
-82.5,-156.88,6
-82.5,-155.62,6
-82.5,-154.38,6
-82.5,-153.12,6
-82.5,-62.5,5
-82.5,-61.875,5
-82.5,-61.25,5
-82.5,-59.375,5
-82.5,-58.75,5
-82.5,-58.125,5
-82.5,-57.5,5
-82.5,-56.875,5
-82.5,166.25,6
-82.5,166.88,6
-82.5,167.5,6
-82.5,168.75,6
-82.5,170,6
-82.5,171.25,6
-82.5,173.12,6
-82.5,175,6
-82.5,176.88,6
-82.5,178.75,6
-82,-178.75,6
-82,-176.88,6
-82,-175,6
-82,-173.12,6
-82,-171.25,6
-82,-169.38,6
-82,-167.5,6
-82,-163.75,6
-82,-161.88,6
-82,-160,6
-82,-156.88,6
-82,-155.62,6
-82,-65,5
-82,-63.75,5
-82,-62.5,5
-82,-61.25,5
-82,-60,5
-82,-58.125,5
-82,-56.25,5
-82,-55.625,5
-82,-55,5
-82,-54.375,5
-82,-53.75,5
-82,-51.875,5
-82,-45,5
-82,-44.375,5
-82,164.38,6
-82,165,6
-82,165.62,6
-82,166.25,6
-82,166.88,6
-82,167.5,6
-82,168.12,6
-82,169.38,6
-82,170.62,6
-82,171.88,6
-82,173.75,6
-82,175.62,6
-82,177.5,6
-82,179.38,6
-81.5,-180,6
-81.5,-178.12,6
-81.5,-176.25,6
-81.5,-174.38,6
-81.5,-172.5,6
-81.5,-170.62,6
-81.5,-168.75,6
-81.5,-166.25,6
-81.5,-163.75,6
-81.5,-160,6
-81.5,-158.75,6
-81.5,-157.5,6
-81.5,-156.25,6
-81.5,-155.62,6
-81.5,-155,6
-81.5,-63.125,5
-81.5,-61.875,5
-81.5,-60,5
-81.5,-58.125,5
-81.5,-56.875,5
-81.5,-54.375,5
-81.5,-50.625,5
-81.5,-48.75,5
-81.5,-46.875,5
-81.5,-45.625,5
-81.5,-45,5
-81.5,-44.375,5
-81.5,-43.75,5
-81.5,-43.125,5
-81.5,-42.5,5
-81.5,-41.875,5
-81.5,163.75,6
-81.5,164.38,6
-81.5,165,6
-81.5,165.62,6
-81.5,166.25,6
-81.5,166.88,6
-81.5,167.5,6
-81.5,168.12,6
-81.5,170,6
-81.5,171.88,6
-81.5,173.12,6
-81.5,174.38,6
-81.5,176.25,6
-81.5,178.12,6
-81,-179.38,6
-81,-177.5,6
-81,-175.62,6
-81,-173.75,6
-81,-171.88,6
-81,-170,6
-81,-168.12,6
-81,-165.62,6
-81,-163.12,6
-81,-161.25,6
-81,-159.38,6
-81,-158.12,6
-81,-156.88,6
-81,-155.62,6
-81,-155,6
-81,-154.38,6
-81,-152.5,6
-81,-150.62,6
-81,-67.5,5
-81,-66.25,5
-81,-65,5
-81,-63.75,5
-81,-61.875,5
-81,-60,5
-81,-56.25,5
-81,-55,5
-81,-53.125,5
-81,-51.25,5
-81,-50,5
-81,-47.5,5
-81,-45.625,5
-81,-45,5
-81,-44.375,5
-81,-43.75,5
-81,-43.125,5
-81,-42.5,5
-81,-41.875,5
-81,-41.25,5
-81,-40,5
-81,161.88,6
-81,162.5,6
-81,163.12,6
-81,163.75,6
-81,164.38,6
-81,165,6
-81,166.25,6
-81,167.5,6
-81,168.75,6
-81,170.62,6
-81,172.5,6
-81,173.75,6
-81,175,6
-81,176.88,6
-81,178.75,6
-80.5,-180,6
-80.5,-178.12,6
-80.5,-176.25,6
-80.5,-174.38,6
-80.5,-172.5,6
-80.5,-170.62,6
-80.5,-168.75,6
-80.5,-166.88,6
-80.5,-165,6
-80.5,-161.88,6
-80.5,-160,6
-80.5,-158.12,6
-80.5,-156.88,6
-80.5,-155.62,6
-80.5,-153.75,6
-80.5,-151.88,6
-80.5,-150.62,6
-80.5,-75.625,5
-80.5,-75,5
-80.5,-74.375,5
-80.5,-73.75,5
-80.5,-73.125,5
-80.5,-72.5,5
-80.5,-71.875,5
-80.5,-71.25,5
-80.5,-70.625,5
-80.5,-68.75,5
-80.5,-67.5,5
-80.5,-58.125,5
-80.5,-56.25,5
-80.5,-54.375,5
-80.5,-45.625,5
-80.5,-44.375,5
-80.5,-43.125,5
-80.5,-42.5,5
-80.5,-41.875,5
-80.5,-41.25,5
-80.5,-40,5
-80.5,-38.125,5
-80.5,-36.875,5
-80.5,-35.625,5
-80.5,-35,5
-80.5,-34.375,5
-80.5,-33.75,5
-80.5,-33.125,5
-80.5,161.25,6
-80.5,161.88,6
-80.5,162.5,6
-80.5,163.12,6
-80.5,163.75,6
-80.5,164.38,6
-80.5,165,6
-80.5,166.25,6
-80.5,167.5,6
-80.5,168.75,6
-80.5,170,6
-80.5,171.25,6
-80.5,173.12,6
-80.5,174.38,6
-80.5,176.25,6
-80.5,178.12,6
-80,-178.75,6
-80,-176.88,6
-80,-175,6
-80,-173.12,6
-80,-171.25,6
-80,-169.38,6
-80,-167.5,6
-80,-165.62,6
-80,-164.38,6
-80,-163.12,6
-80,-161.25,6
-80,-159.38,6
-80,-157.5,6
-80,-155.62,6
-80,-153.12,6
-80,-151.88,6
-80,-150.62,6
-80,-150,6
-80,-148.75,6
-80,-76.875,5
-80,-76.25,5
-80,-75.625,5
-80,-75,5
-80,-74.375,5
-80,-73.75,5
-80,-73.125,5
-80,-72.5,5
-80,-71.875,5
-80,-70.625,5
-80,-69.375,5
-80,-67.5,5
-80,-65.625,5
-80,-63.125,5
-80,-56.875,5
-80,-55,5
-80,-53.75,5
-80,-52.5,5
-80,-42.5,5
-80,-41.875,5
-80,-40.625,5
-80,-39.375,5
-80,-38.125,5
-80,-35.625,5
-80,-34.375,5
-80,-33.75,5
-80,-33.125,5
-80,-32.5,5
-80,-31.875,5
-80,-31.25,5
-80,161.88,6
-80,162.5,6
-80,163.12,6
-80,163.75,6
-80,164.38,6
-80,165,6
-80,166.25,6
-80,167.5,6
-80,168.75,6
-80,170,6
-80,171.25,6
-80,172.5,6
-80,173.75,6
-80,175,6
-80,176.88,6
-80,178.75,6
-79.5,-180,6
-79.5,-178.12,6
-79.5,-176.25,6
-79.5,-174.38,6
-79.5,-172.5,6
-79.5,-170.62,6
-79.5,-168.75,6
-79.5,-166.88,6
-79.5,-165.62,6
-79.5,-164.38,6
-79.5,-158.12,6
-79.5,-156.88,6
-79.5,-155.62,6
-79.5,-154.38,6
-79.5,-153.12,6
-79.5,-152.5,6
-79.5,-151.88,6
